Item,Price_USD,Price_Peso,Price_Yuan
Alcohol,13.97,144.1,59.33
AlcoholCuvee,12.98,133.89,55.12
AlcoholJapaneseWhisky,34.98,360.82,148.55
AlcoholVodka,10.98,113.26,46.63
AlcoholWhisky,32,330.08,135.89
Alcool,13.97,144.1,59.33
Apple,2.08,21.46,8.83
AppleGreen,1.56,16.09,6.62
Artichoke,2.5,25.79,10.62
Avocado,0.88,9.08,3.74
Bag,0,0,0
Bag2,0,0,0
Bag3,0,0,0
Banana,0.71,7.32,3.02
BananaBunch,1.1,11.35,4.67
beef,5.9,60.86,25.06
beef_ground,4.48,46.21,19.03
BeerBK,1.246666667,12.86,5.29
BeerBlond,1,10.32,4.25
BeerKegBlond,1.6625,17.15,7.06
BeerKegDegl,1.6625,17.15,7.06
BeerKegLager,1.2725,13.13,5.4
BeerLager,1.2725,13.13,5.4
BeerPackBK,7,72.21,29.73
BleachBoeff,0,0,0
BleachJajaBlue,0,0,0
BleachJajaGreen,0,0,0
BleachJajaYellow,0,0,0
BookAbc,0,0,0
BookColors,0,0,0
BookDonnine,0,0,0
BookElectromagneticField,0,0,0
BookIWontShare,0,0,0
BookKrok,0,0,0
BookMotherAndChild,0,0,0
BookMuddleheadedWombat,0,0,0
BookOnceUponATime,0,0,0
BookPiticha,0,0,0
BookSurpriseBook,0,0,0
BookVintageStorybook,0,0,0
Butter,3.48,35.9,14.78
Cake_Pack,0,0,0
CakeMadeleines,3.5,36.1,14.86
CakeMarbre,2.58,26.61,10.96
CakeMarbres,2.98,30.74,12.66
CakePepites2,3.12,32.18,13.25
CakePrairie,2.96,30.53,12.57
CakeSucres,4.42,45.59,18.77
CandyPack,0,0,0
CandyPack_2,0,0,0
Capsule,0,0,0
CapsuleBoum,0,0,0
CapsuleCemagik,0,0,0
Carrot,3.44,35.48,14.61
Cereal_Chokipik,2.94,30.33,12.49
Cereal_Pack,0,0,0
CerealChokipik,3.98,41.05,16.9
CerealCrispyChibi,3.7,38.17,15.71
CerealHoneyBees,3.28,33.83,13.93
Cheese_Parmigian,4.92,50.75,20.89
Cheese_Parmigiano2,4.68,48.27,19.87
CheeseComte,3.12,32.18,13.25
CheeseDonBernado,3.12,32.18,13.25
CheeseGruyere,6.64,68.49,28.2
CheeseMimolette,5.64,58.18,23.95
chicken,4.25,43.84,18.05
chicken_whole,5.84,60.24,24.8
ChilliPeppersGreen,0,0,0
ChilliPeppersRed,0,0,0
ChilliPeppersYellow,0,0,0
Chips_Pack,0,0,0
ChipsChipos,2.5,25.79,10.62
ChipsChiposCrumpled,2.5,25.79,10.62
ChipsCovidos2,3,30.95,12.74
ChipsCovidosCrumpled,3,30.95,12.74
ChipsVins,3.26,33.63,13.84
ChipsVinsCrumpled,3.26,33.63,13.84
ChocolateBoxPurple,10.88,112.23,46.2
ChocolateBoxYellow,10,103.15,42.47
ChocolatePowder,3.26,33.63,13.84
ChocolateSpreadBrown,3.58,36.93,15.2
ChocolateSpreadWhite,2.28,23.52,9.68
Cleanser,0,0,0
CleanserKilemol,0,0,0
CleanserSpray,0,0,0
CleanserWesh,0,0,0
Clementine,0.86,8.87,3.65
clementine,1.81,18.67,7.69
CoffeeBlack,20,206.3,84.93
CoffeeBlue,35,361.03,148.63
CoffeePink,10.44,107.69,44.34
CrabSticks,3.98,41.05,16.9
Cream,1,10.32,4.25
CreamHoumous,4.48,46.21,19.03
CreamStark,2.92,30.12,12.4
EggBox12,2.32,23.93,9.85
EggBox4,0.84,8.66,3.57
EggBox8,1.65,17.02,7.01
FlourRed,3.54,36.52,15.03
FrozenBoxCones,0,0,0
FrozenMaxiCones,0,0,0
FrozenPackBurritos,0,0,0
FrozenPackCrepes,0,0,0
FrozenPackFrenchFries,0,0,0
FrozenPackGalettes,0,0,0
FrozenPackGreenBeans,0,0,0
FrozenPackLasagna,0,0,0
FrozenPackLasagne2,0,0,0
FrozenPackMacCheese,0,0,0
FrozenPackPotatoPops,0,0,0
FrozenPackPurpleVegies,0,0,0
FrozenPackRedVegies,0,0,0
FrozenPackVegies,0,0,0
FrozenPopopo,0,0,0
Garlic,0.5,5.16,2.12
Grapefruit,6.48,66.84,27.52
ham_crown,3.48,35.9,14.78
ham_norway,4,41.26,16.99
ham_single,3.97,40.95,16.86
Honey,5.16,53.23,21.91
JuiceApple,2.3,23.72,9.77
JuiceOrange,3.64,37.55,15.46
Kiwi,8.98,92.63,38.14
lamb,18.48,190.62,78.48
LaundreyBottleGreen,0,0,0
LaundreyBottlePink,0,0,0
LaundryBottle,0,0,0
Lemon,3.98,41.05,16.9
Mango,1.6,16.5,6.79
MashPotatoes,1.12,11.55,4.76
Melon,2.88,29.71,12.23
MilkBottles,8,82.52,33.97
MilkCarton,3.3,34.04,14.01
Mushroom,3.78,38.99,16.05
OilOlive,4.24,43.74,18.01
OilSpray,1.68,17.33,7.13
Onion,1.17,12.07,4.97
Papaya,4.16,42.91,17.67
PaperTowel,0,0,0
PastaBoxElbows,1.28,13.2,5.44
PastaBoxPenne,1.28,13.2,5.44
PastaBoxSpaghetti,1.28,13.2,5.44
PastaPenne,1.28,13.2,5.44
PastaPenne2,1.28,13.2,5.44
PeanutButter,2.28,23.52,9.68
Pear,1.66,17.12,7.05
Pepper,2.08,21.46,8.83
PetFoodDog,0,0,0
Pineapple,2.18,22.49,9.26
PizzaCheese,5.94,61.27,25.23
PizzaCombo,5.94,61.27,25.23
PizzaPepperoni,5.94,61.27,25.23
Potato,1.17,12.07,4.97
PotatoeBag,3.97,40.95,16.86
Pumpkin,2.48,25.58,10.53
RiceBlue,1.8,18.57,7.64
RiceOrange,2.14,22.07,9.09
RiceWhite,1.38,14.23,5.86
Salt,0.98,10.11,4.16
SauceHotSauce,1.08,11.14,4.59
SauceKetchup,0.9,9.28,3.82
SauceMayo,1.94,20.01,8.24
ShampooAvacado,0,0,0
ShampooBaby,0,0,0
ShampooCoconut,0,0,0
ShampooDope,0,0,0
ShampooExtraStrong,0,0,0
ShampooGreen,0,0,0
ShampooHoney,0,0,0
ShampooMen,0,0,0
ShampooMenFresh,0,0,0
ShampooPearl,0,0,0
SliceBreadWhite,0,0,0
SlicedBreadSmall,3.14,32.39,13.33
slicedBreadWhite,2.53,26.1,10.74
SoapDurian,0,0,0
SoapLemon,0,0,0
SoapSmall,0,0,0
SodaCola,1.96,20.22,8.32
SodaKoujein,0,0,0
SodaPop,0,0,0
SodaZap,1.96,20.22,8.32
Squash,0.53,5.47,2.25
SugarBoully,1.34,13.82,5.69
SugarDaronGreen,0,0,0
SugarDaronPink,0,0,0
SugarDaronPinkBox,0,0,0
SugarDaronWhite,0,0,0
SugarPablo,0,0,0
Sushis,0,0,0
SushisCaliRolls,0,0,0
SweetJarBrown,7.87,81.18,33.42
SweetJarOrange,15.02,154.93,63.78
SweetJarRed,19.89,205.17,84.47
TeaboxAsian,2.48,25.58,10.53
TeaboxCylinderBlack,10.82,111.61,45.95
TeaboxCylinderGreen,9.38,96.75,39.83
TeaboxCylinderWhite,4.94,50.96,20.98
TinCanTunaSmall,0.68,7.01,2.89
TinCanTunaLarge,3.28,33.83,13.93
Tomato,1.95,20.11,8.28
Watermelon,6.98,72,29.64
WineBottle5Y,4.98,51.37,21.15
WineBottleChebon,9.98,102.94,42.38
YoghurtMixedFruit,1.16,11.97,4.93
YoghurtVanilla,0.58,5.98,2.46
YoghurtVanillaOrganic,1.34,13.82,5.69
Zucchini,0.45,4.64,1.91